P32_ALL,DIFFRACTION_ALL,INVERSION_AI,FAULTS,VREZY,TOLSCHI,FUNDAMENT,PROVODKA,DH_B_R0,DIFFRACTION_ALL_SM,MAX_DIFFRACTION,MIN_DIFFRACTION,STACK_MINUS_MAX_DIFFRACTION,STACK_MINUS_MIN_DIFFRACTION,STACK_MULT_MAX_DIFFRACTION,STACK_MULT_MIN_DIFFRACTION,PERV,INVERSION_AI_COLL,THICKNESS_R0_R4,RMS_AMPLITUDE,FAULTS_PROBABILITY,FAULTS_AND_FAULTS_PROBABILITY,WELL
2.5252757072,1.7275156975,18845.742188,1935.7032471,5110.5009766,1013.0610352,10973.432617,91.953933716,186.1703949,1.7774128914,3.8518242836,0.2298454046,9.9460248947,13.568004608,6.6470842361,0.4006148875,7.0965151787,18844.517578,255.10961914,531164.125,523.67614746,523.67614746,0
3.0344393253,1.7096025944,18874.615234,1927.4401855,5114.0961914,1019.4057617,10966.166992,92.476043701,186.02362061,1.7911119461,3.717402935,0.3759154677,9.9533576965,13.294844627,6.3585724831,0.6441397667,7.0904445648,18874.083984,254.48416138,362967.28125,532.51257324,532.51257324,0
3.5853130817,1.680385828,18903.199219,1919.208252,5117.7011719,1025.7687988,10958.90625,92.996322632,185.87213135,1.804605484,3.5677716732,0.4911543429,9.8831691742,12.959787369,6.002412796,0.8297181129,7.0819802284,18903.289063,253.85958862,227830.04688,541.3203125,541.3203125,0
4.1193037033,1.6645848751,18916.720703,1910.7271729,5121.4785156,1032.1333008,10951.748047,93.423339844,185.68511963,1.8179168701,3.4885833263,0.4914131165,9.8411827087,12.838352203,5.8256640434,0.8219195604,7.0776968002,18917.394531,253.29266357,139767.09375,550.32995605,550.32995605,0
4.5655431747,1.6401343346,18934.546875,1902.3041992,5125.2539063,1038.5178223,10944.59375,93.849777222,185.49581909,1.8310571909,3.3926701546,0.4940818548,9.7516841888,12.650273323,5.594201088,0.8139463663,7.0709047318,18935.859375,252.74383545,73757.960938,559.29919434,559.29919434,0
4.8553705215,1.6347367764,18943.015625,1893.7165527,5129.1464844,1044.864624,10937.523438,94.260391235,185.28656006,1.8436181545,3.2038059235,0.465962559,9.9008388519,12.638682365,5.2559018135,0.7703303099,7.0642986298,18944.875,252.28773499,32252.402344,568.35424805,568.35424805,0
5.0209503174,1.6514253616,18931.386719,1884.8010254,5133.3461914,1051.0322266,10930.681641,94.623825073,185.05447388,1.8553676605,2.9274179935,0.3455237746,10.301830292,12.883724213,4.8347845078,0.5795779228,7.0594978333,18933.626953,251.94226074,11281.830078,577.57971191,577.57971191,0
5.1569242477,1.6639044285,18916.191406,1875.8740234,5137.5444336,1057.2404785,10923.844727,94.987991333,184.81854248,1.8669872284,2.6538648605,0.1524767876,10.664944649,13.166333199,4.4162464142,0.2521103323,7.0524578094,18918.828125,251.60314941,1082.6965332,586.76220703,586.76220703,0
5.2771458626,1.7543076277,18916.451172,1866.9031982,5142.0029297,1063.3681641,10917.185547,95.194969177,184.54006958,1.8766623735,2.7686514854,0.1816908121,11.279154778,13.86611557,4.9325361252,0.328186512,7.0365247726,18919.486328,251.39559937,20.558832169,596.19049072,596.19049072,0
5.3149971962,1.8522063494,18919.53125,1857.909668,5146.4951172,1069.5009766,10910.555664,95.374923706,184.25500488,1.8860410452,2.9110469818,0.2083676457,11.922092438,14.624771118,5.4877309799,0.3991369903,7.0154643059,18922.957031,251.2290802,284.0038147,605.60559082,605.60559082,0
5.1922669411,1.9418911934,18919.167969,1848.9547119,5150.9189453,1075.7475586,10903.871094,95.473937988,183.96298218,1.8950297832,3.109442234,0.220692575,12.43506813,15.323817253,6.1420507431,0.4473429918,6.9882936478,18922.882813,251.11331177,332.90115356,614.98120117,614.98120117,0
4.8731603622,2.0438890457,18907.916016,1840.0753174,5155.2792969,1082.166626,10897.123047,95.472381592,183.65310669,1.9029507637,3.5626621246,0.3003717661,12.782987595,16.045278549,7.4467253685,0.6473831534,6.9454655647,18911.558594,251.13034058,72.984642029,624.38415527,624.38415527,0
4.3753356934,2.1940932274,18896.816406,1831.1887207,5159.6220703,1088.6169434,10890.365234,95.482246399,183.33856201,1.9109421968,4.0697455406,0.4471130073,13.464197159,17.086830139,9.0035514832,1.0057253838,6.8976092339,18900.339844,251.15808105,1078.5465088,633.73913574,633.73913574,0
3.7697572708,2.315050602,18886.167969,1822.4914551,5163.6826172,1095.3841553,10883.357422,95.679000854,183.01486206,1.9183602333,4.3142318726,0.4701530933,14.188911438,18.032989502,9.9777450562,1.0772461891,6.8800125122,18889.341797,251.17849731,166.49942017,643.0213623,643.0213623,0
3.1725742817,2.4146823883,18873.490234,1813.8040771,5167.7617188,1102.1865234,10876.351563,95.87223053,182.68334961,1.925308466,4.3443775177,0.348317802,14.966760635,18.96282196,10.474808693,0.8142803311,6.8816108704,18876.15625,251.20504761,28.937496185,652.31463623,652.31463623,0
2.6819272041,2.520581007,18860.822266,1805.1379395,5171.7895508,1109.0527344,10869.306641,96.126121521,182.34906006,1.9323635101,4.3501224518,0.1745129824,15.820511818,19.99612236,10.951816559,0.4330734611,6.8807873726,18862.964844,251.22993469,1473.0587158,661.55895996,661.55895996,0
2.3087947369,2.5647583008,18815.617188,1796.628418,5175.6665039,1116.1981201,10862.126953,96.58821106,182.01225281,1.9378415346,4.8039722443,0.2444926053,15.718673706,20.278152466,12.337856293,0.6294957995,6.9028015137,18817.158203,251.23858643,11838.130859,670.81158447,670.81158447,0
2.0397233963,2.5784683228,18767.140625,1788.1193848,5179.5400391,1123.3925781,10854.951172,97.052810669,181.66477966,1.9432156086,5.2757849693,0.3278251886,15.354883194,20.302841187,13.622995377,0.8474523425,6.9257330894,18767.984375,251.29104614,32151.609375,680.07843018,680.07843018,0
1.88501513,2.5405688286,18745.164063,1779.682373,5183.3476563,1130.6656494,10847.719727,97.612487793,181.32070923,1.9477318525,5.5839219093,0.3426194787,14.741170883,19.982473373,14.183732986,0.8729547262,6.9387550354,18745.513672,251.3324585,74025.875,689.3493042,689.3493042,0
1.8227585554,2.4658460617,18739.332031,1771.2871094,5187.1396484,1137.9892578,10840.466797,98.203033447,180.98141479,1.9514365196,5.7867450714,0.3323867321,13.936290741,19.390647888,14.253557205,0.8229650259,6.9413576126,18739.390625,251.34370422,137278.29688,698.63562012,698.63562012,0
1.8389592171,2.4074196815,18721.160156,1762.8930664,5190.9091797,1145.3522949,10833.201172,98.76940918,180.64117432,1.9554959536,6.0322871208,0.3748432398,13.217701912,18.875144958,14.521120071,0.910243094,6.9412350655,18720.910156,251.34413147,217031.71875,707.88525391,707.88525391,0
1.963893652,2.3781545162,18716.333984,1754.5858154,5194.6796875,1152.8156738,10825.897461,99.25642395,180.33314514,1.9580066204,5.8614416122,0.4482678771,13.151216507,18.564388275,13.966331482,1.0697510242,6.953414917,18716.007813,251.28942871,287413.90625,717.18811035,717.18811035,0
2.1654732227,2.357480526,18710.835938,1746.2712402,5198.4521484,1160.3057861,10818.597656,99.739974976,180.02500916,1.9607511759,5.6937098503,0.4740342498,13.151045799,18.370721817,13.459877014,1.1169912815,6.9642066956,18710.445313,251.21948242,366916.65625,726.47167969,726.47167969,0
2.3682925701,2.3249905109,18707.867188,1737.9768066,5202.2280273,1167.8415527,10811.296875,100.16905212,179.72492981,1.9628654718,5.4385213852,0.4189032912,13.151788712,18.171405792,12.730737686,0.9755023718,6.9814968109,18707.503906,251.11697388,443499.09375,735.76635742,735.76635742,0
2.5652017593,2.2733893394,18714.007813,1729.7155762,5206.0180664,1175.4145508,10803.998047,100.56950378,179.44004822,1.9638278484,5.0053052902,0.3018626571,13.193346977,17.896789551,11.531942368,0.6914841533,7.0124640465,18713.828125,250.95626831,528011.125,745.09790039,745.09790039,0
2.7601716518,2.2322878838,18718.435547,1721.4465332,5209.7983398,1182.9996338,10796.695313,100.89651489,179.15512085,1.9651346207,4.5778031349,0.1843744367,13.318310738,17.711738586,10.356626511,0.4046230614,7.0414018631,18718.466797,250.77433777,588826.0,754.40270996,754.40270996,0
2.9301271439,2.1416385174,18721.695313,1713.2321777,5213.6220703,1190.6544189,10789.394531,101.11802673,178.90429688,1.9645729065,4.3655014038,0.1276012957,12.83820343,17.07610321,9.5339336395,0.2791826725,7.0622348785,18722.253906,250.55996704,630364.0,763.75946045,763.75946045,0
3.0747559071,2.0453736782,18724.097656,1705.0197754,5217.4555664,1198.331543,10782.095703,101.33264923,178.65921021,1.9639618397,4.1909008026,0.095581159,12.278912544,16.374233246,8.7520198822,0.2067235112,7.0786437988,18725.277344,250.33763123,675077.875,773.10784912,773.10784912,0
3.1590604782,1.9381554127,18728.660156,1696.9309082,5221.1220703,1206.1584473,10774.672852,101.3330307,178.42874146,1.9630435705,4.0306272507,0.1196721718,11.611794472,15.522748947,7.9725942612,0.2231198996,7.0987586975,18730.71875,250.09686279,631203.1875,782.40881348,782.40881348,0
3.1066174507,1.7400403023,18736.886719,1688.9000244,5224.8007813,1214.0740967,10767.253906,101.29862976,178.22674561,1.9608565569,3.9005222321,0.2459566891,10.169208527,13.823774338,7.004983902,0.4004631341,7.1393427849,18740.027344,249.85028076,604033.875,791.82922363,791.82922363,0
2.9093430042,1.5221281052,18743.791016,1680.9470215,5228.3447266,1222.0910645,10759.742188,101.37258148,178.03079224,1.9590330124,3.7830824852,0.3435322642,8.5544252396,11.993975639,5.9279766083,0.5238400698,7.1802024841,18747.947266,249.57077026,626518.8125,801.18487549,801.18487549,0
2.5941979885,1.32345891,18769.808594,1673.083374,5231.8608398,1230.178833,10752.192383,101.49957275,177.87593079,1.9563033581,3.5997595787,0.2756953239,7.1417036057,10.46576786,5.0033340454,0.4001983404,7.2292642593,18774.609375,249.27288818,701242.25,810.5090332,810.5090332,0
2.1863901615,1.1379630566,18803.386719,1665.2073975,5235.4243164,1238.2678223,10744.669922,101.70170593,177.73295593,1.9534758329,3.3973765373,0.1700289249,5.8462462425,9.0735940933,4.1283330917,0.2239589989,7.280354023,18808.667969,248.96786499,827082.125,819.83538818,819.83538818,0
1.7837914228,1.0298669338,18831.5,1657.338623,5238.9990234,1246.3735352,10737.148438,101.89474487,177.60066223,1.9505040646,3.3159115314,0.0995870084,5.0518293381,8.2681541443,3.6193573475,0.1095994562,7.3311986923,18837.496094,248.67105103,958840.1875,829.05737305,829.05737305,0
1.5234825611,1.1819554567,18833.234375,1649.5302734,5242.6035156,1254.5048828,10729.625,101.99897766,177.51379395,1.9461262226,3.5738501549,0.1132752225,6.0134921074,9.4740667343,4.3961343765,0.1470898092,7.3870916367,18840.882813,248.46282959,1053821.0,837.8079834,837.8079834,0
1.4534877539,1.3394882679,18837.058594,1641.7258301,5246.1845703,1262.6633301,10722.088867,101.97089386,177.43371582,1.941845417,3.7151074409,0.1367204189,7.1347455978,10.713132858,5.0646934509,0.1990750134,7.4429569244,18846.486328,248.24468994,1080231.375,846.33068848,846.33068848,0
1.5626103878,1.518242836,18840.0625,1633.9682617,5249.7890625,1270.8688965,10714.560547,101.89977264,177.40133667,1.9361739159,4.213932991,0.1880197376,8.0460529327,12.071966171,6.6057863235,0.3102474213,7.4945716858,18851.466797,248.04460144,1106262.75,853.32043457,853.32043457,0
1.8851406574,1.700710535,18842.335938,1626.2093506,5253.4335938,1279.0795898,10707.054688,101.83732605,177.39041138,1.9299235344,4.9363751411,0.2516524792,8.7610931396,13.44581604,8.6248397827,0.4527058601,7.5430865288,18855.832031,247.8522644,1146933.75,859.16357422,859.16357422,0
2.4384255409,1.8505165577,18844.21875,1618.4406738,5257.1000977,1287.2905273,10699.564453,101.78721619,177.3862915,1.923537612,5.4818191528,0.3051751852,9.395772934,14.572416306,10.208738327,0.5762693286,7.5851449966,18859.828125,247.65620422,1195683.0,863.89276123,863.89276123,0
3.1196260452,1.835256815,18841.990234,1610.7335205,5260.8149414,1295.5415039,10692.083008,101.70502472,177.42153931,1.9153852463,4.8523340225,0.2911480665,9.8569889069,14.418174744,8.9708652496,0.5435312986,7.5872821808,18859.75,247.49090576,1236092.25,864.69976807,864.69976807,0
